id,name,address,city_id,location,description,average_price,food_type,stars
83,Pizzeria La Campagnola,"Piazza Giuseppe Garibaldi, 60",3,40.85623380825445  14.255447474556247,Pizzeria La Campagnola - Rustic pizzeria offering a variety of traditional pizzas with a homemade touch.,8,traditional,5
84,Algiubagio Restaurant,"Fondamente Nove, 5039, 30121 Venezia VE, Italy",5,45.44463549649252 12.34013073748908,"Modern Italian dishes served in a chic, rustic-style setting with a terrace overlooking the lagoon.",6,traditional,4
85,Trattoria Antiche Carampane,"Rio Tera de le Carampane, 1911, 30125 Venezia VE, Italy",5,45.440115214799754 12.330861005461026,"
sea food-focused Venetian dishes served in a cozy, family-run restaurant adorned with photos.",40,sea food,4
86,La Zucca,"Sestiere Santa Croce 1762, 30135 Venezia VE, Italy",5,45.44198211166024 12.327856931459296,"Seasonal Venetian dishes with vegetarian leanings, in a cozy setting with tables by the canal.",8,traditional,5
87,Rio Novo,"Santa Croce, 278, 30135 Venezia VE, Italy",5,45.438340894863735 12.319886368663157,"Casual venue featuring sea food, pasta & pizzas, plus terrace dining with canal views.",4,traditional,3
88,Osteria Enoteca Ai Artisti,"Fondamenta Toletta, 1169/abc, 30123 Venezia VE, Italy",5,45.43364312049618 12.324950379123209,"Traditional Venetian tavern with a snack counter offering up a host of dishes, including sea food.

Traditional Venetian tavern with a snack counter offering up a host of dishes, including sea food.

",5,traditional,4
89,Ai Mercanti,"Corte Coppo, 4346/a, 30124 Venezia VE, Italy",5,45.43599205656561 12.33516423072909,"Restaurant with a terrace presenting sophisticated, seasonal cuisine amid intimate surrounds.",5,traditional,5
90,Osteria alle Testiere,"Calle del Mondo Novo, 5801, 30122 Venezia VE, Italy",5,45.438265553567234 12.340230140494752,"Whether you are a sea food lover or simply seeking an authentic taste of Venetian cuisine, Osteria alle Testiere is a must-visit for food enthusiasts.",4,traditional,5
91,Burger King,"di fronte Stazione Santa Lucia, Santa Croce, 745A, 30135 Venezia VE, Italy",5,45.44150980268428 12.323439521603664,"Well-known fast-food chain serving grilled burgers, fries & shakes.",6,fast food,3
92,McDonald's,"Strada Nova, 3922, 30121 Venezia VE, Italy",5,45.442352904205045 12.333739203895304,"Classic, long-running fast-food chain known for its burgers & fries.",7,fast food,3
93,Dal Moro's,"THE ORIGINAL SINCE 2012 - WATCH OUT OF COPYCATS, Calle de la Casseleria, 5324, 30122 Venezia VE, Italy",5,45.43741455894008 12.339919013270293,Boxes of fresh pasta mixed with a pick of made-to-order sauces served in a buzzing take-out spot.,6,fast food,4
94,KFC,"Stazione di Venezia Santa Lucia, 30121 Venezia VE, Italy",5,45.44090757959864 12.31914798731547,"Built to a rationalist design in 1924, this train station is the central train terminus in Venice.",10,fast food,4
95,Halal Food (Pizza Roma),"Santa Croce, 284, 30135 Venezia VE, Italy",5,45.437173652992804 12.319662971430052,"Their pizza is crispy and thin, and you can customize it with various toppings such as pepperoni, mushrooms, black olives, green olives, Italian sausage, ground beef, hot peppers, onions, green peppers, double cheese, pineapple, ham, chicken, spinach, broccoli, anchovies, sliced tomatoes, and gyro meat.",9,fast food,4
96,La Palanca,"Fondamenta Sant'Eufemia, 448, 30133 Venezia VE, Italy",5,45.42759310583489 12.326701069696332,"La Palanca sits right on the water edge, offering a priceless view of the canal,Fresh sea food: The restaurant is known for its well-prepared fresh fish dishes, including specialties like squid ink and marinated mantis shrimp.",15,sea food,5
97,Trefanti,"Santa Croce n 888 Fondamenta dei, Fondamenta Garzotti, 30135 Venezia VE, Italy",5,45.44147764942459 12.32436362193879,"Venetian mussels, sea food pasta & grilled fish at a simple trattoria with tables beside a canal.",16,sea food,4
98,Poste Vecie,"Mercato del pesce di Rialto, San Polo, 1608, 30124 Venezia VE, Italy",5,45.4413073155684 12.333831489689025,"Classic Venetian cooking at a quaint, fresco-lined former post office with garden dating from 1500.",14,sea food,4
99,Ristorante Vecia Cavana,"Via Tera Santi Apostoli, 4624, 30121 Venezia VE, Italy",5,45.44275513695444 12.336866062685898,"Fish-based menu of Venetian dishes, including a gluten-free menu, in former 16th-century boathouse.",20,sea food,5
100,Frito Inn,"Campo San Leonardo, 1587, 30121 Venezia VE, Italy",5,45.44488421855677 12.32764096077541,"Whether you are craving crispy calamari or want to savor the flavors of the sea, Frito Inn offers a tasty sea food experience in the heart of Venice!",16,sea food,4
101,Osteria Antico Giardinetto,"Calle dei Morti, 2253, 30135 Venezia VE, Italy",5,45.44147764942459 12.331525214211405,"Cozy, family-run restaurant with a rustic interior & a fish-centric menu of Med/Venetian dishes.",22,sea food,5
102,Pasticceria Rio Marin,"Fondamenta Rio Marin, 784, 30135 Venezia VE, Italy",5,45.440598855050574 12.324944638679959,"Cozy, family-run restaurant with a rustic interior & a fish-centric menu of Med/Venetian dishes.",12,dessert,5
103,Pasticceria Marchini Time,"Campo S. Luca, 4589, 30124 Venezia VE, Italy",5,45.43659805282339 12.33497692420083,Simple outpost supplying coffee & a diverse selection of old-fashioned pastries & cookies.,6,dessert,4
104,Farini,"Calle Seconda de la Fava, 5602, 30122 Venezia VE, Italy",5,45.43811737821669 12.338008262271885,"Farini is a delightful Italian eatery where fresh food takes center stage. From morning pastries to handcrafted pizzas, their menu offers a delectable array of flavors.",8,dessert,4
105,Bar Pasticceria Ballarin,"Calle San Crisostomo, 5794, 30121 Venezia VE, Italy",5,45.44004179832231 12.336564767952334,"Small bakery serving coffee, pastries & cakes to eat at a marble-topped counter or to take away.",10,dessert,5
106,Club del Doge,"Campo Santa Maria del Giglio, 2467, 30124 Venezia VE, Italy",5,45.4320391708154 12.33317691716636,"Upscale Venetian dining in opulent Hotel Gritti Palace, with a terrace overlooking the Grand Canal.",30,fine dinning,4
107,Bistrot de Venise,"Calle dei Fabbri, 4685, 30124 Venezia VE, Italy",5,45.436977986513995 12.336266821853853,"Elegant restaurant serving updates of traditional Venetian dishes, plus over 60 wines by the glass.",40,fine dinning,5
108,LPV Ristorante & Bistrot,"Riva degli Schiavoni, 4171, 30122 Venezia VE, Italy",5,45.43535183882968 12.344077414258352,"Elegant dining room with Murano glass in the Hotel Londra Palace, showcasing Venetian classics.",40,fine dinning,4
109,Ristorante Glam,"Calle Tron, 1961, 30135 Venezia VE, Italy",5,45.44209703435805 12.329829520421576,"Intimate, acclaimed venue at a luxe hotel with a leafy courtyard presenting imaginative dishes.",35,fine dinning,3
110,Ai Mercanti,"Corte Coppo, 4346/a, 30124 Venezia VE, Italy",5,45.4361348046754 12.335236853624691,"Restaurant with a terrace presenting sophisticated, seasonal cuisine amid intimate surrounds.",25,fine dinning,5
111,Osteria Santo Spirito," (Piazza Santo Spirito, 16)",4,43.76665168669533  11.2468047253303, Cozy trattoria serving traditional Tuscan dishes in a charming atmosphere.,40,fine dinning,4
112,Trattoria Mario,"Via Rosina, 2r",4,43.776715404581225  11.254570367659035,Popular local spot offering classic Florentine cuisine and a lively ambiance.,6,traditional,3
113,Il Latini ,"Via dei Palchetti, 6/r",4,43.77174747547385  11.249333496494666,Historic steakhouse known for its hearty Tuscan dishes and warm hospitality.,35,fine dining,5
114,La Giostra,"Borgo Pinti, 12r",4,43.77225691613307  11.262198538822867,Romantic restaurant serving Tuscan and international cuisine in an elegant setting.,30,sea food,2
115,Buca Lapi,"Via del Trebbio, 1r",4,43.77297222561099  11.251307383002423,"Renowned restaurant housed in a historic cellar, serving Florentine specialties.",5,traditional,4
116,Trattoria Zà Zà,"Piazza del Mercato Centrale, 26r",4,43.77649401173101  11.25442703882313,Vibrant trattoria offering a mix of Tuscan and international dishes.,4,traditional,5
117,Il Pizzaiuolo,"Via dei Macci, 113r",4,43.771335231567676  11.266172417037776, Authentic pizzeria serving Neapolitan-style pizzas cooked in a wood-fired oven.,7,fast food,5
118,All'Antico Vinaio,"Via dei Neri, 74r",4,43.76936540404297  11.25728873214846,Popular panini shop known for its generous sandwiches filled with Tuscan ingredients.,4,dessert,3
119,Il Santo Bevitore,"Via Santo Spirito, 64r",4,43.76914763821876  11.246752994643208, Rustic-chic restaurant offering creative Tuscan dishes and an extensive wine list.,3,dessert,4
120,Trattoria Sostanza,"Via del Porcellana, 25r",4,43.77276483728073  11.247081869510115,"Historic trattoria specializing in Florentine cuisine, famous for its butter chicken.",30,fine dinning,3
121,Ora d'Aria,"Via dei Georgofili, 11r",4,43.76858168244542  11.254797809986764, Michelin-starred restaurant serving innovative and refined Italian cuisine.,5,fast food,2
122,La Buchetta Food & Wine,"Via dei Benci, 3r",4,43.767471041259434  11.259161225330313, Intimate restaurant known for its traditional Tuscan dishes and extensive wine selection.,4,fast food,3
123,Cibrèo,"Via Andrea del Verrocchio, 8r",4,43.77250644805681  11.252756058063273, Acclaimed restaurant offering a modern twist on traditional Tuscan recipes.,12,sea food,4
124,Il Cibreo Trattoria ,"Via dei Macci, 122r",4,43.77151715173039  11.266584326081604,"Sister restaurant of Cibrèo, serving delicious Tuscan cuisine in a casual setting.",35,fine dinning,5
125,Golden View Open Bar,"Via dei Bardi, 58r",4,43.76739867401006 11.253450831633419,"Riverside restaurant with panoramic views, serving Italian and sea food dishes.",10,traditional,5
126,Il Guscio,"Via dell'Orto, 49r",4,43.76921170997854  11.240410025330407,Charming sea food restaurant known for its fresh sea food and cozy atmosphere.,6,fast food,3
127,Ristorante del Fagioli,"Corso dei Tintori, 47r",4,43.76768641939767 11.259668667658556,Historic trattoria serving classic Tuscan dishes in a traditional setting.,16,sea food,4
128,Osteria del Cinghiale Bianco,"Borgo S. Jacopo, 43r",4,43.76762443669496 11.25964720998675," Traditional Tuscan osteria specializing in game dishes, including wild boar.",6,traditional,4
129,La Ménagère,"Via de' Ginori, 8r",4,43.77604126601774 11.255464938823105,"Trendy restaurant and concept store, offering farm-to-table dishes and a stylish ambiance.",15,sea food,4
130,Il Santo Graal ,"Via Romana, 70r",4,43.76946342085597  11.246731614172793," Cozy restaurant serving a mix of Italian and international cuisine, with vegetarian options.",10,dessert,5
131,I'Brindellone," (Piazza Piattellina, 10r",4,43.76877493431054  11.242887725330375,Authentic trattoria known for its hearty Florentine dishes and friendly service.,7,dessert,4
132,Ristorante Beccofino ,"Via dell'Orto, 40r",4,43.21528134212777 11.653713071962539,Elegant restaurant offering a refined menu of Italian and Mediterranean dishes.,18,sea food,3
133,Le Fonticine,"Via Nazionale, 105r",4,43.777387916458125  11.251974181151377," Family-run trattoria serving traditional Tuscan cuisine, including homemade pasta.",25,sea food,5
134,Il Vecchio e il Mare ,"(Via Lungo l'Affrico, 2",4,43.769866127185985  11.276088225330444," sea food restaurant located outside the city center, offering fresh fish dishes.",10,fast food,4
135,Osteria Belle Donne,"Via delle Belle Donne, 16r",4,43.77225512161559 11.250703696494705,Cozy osteria serving traditional Tuscan dishes with a focus on local ingredients.,6,fast food,4
136,Acqua al 2,"Via della Vigna Vecchia, 40r",4,43.77031123610866  11.25871892347917,Tuscan restaurant known for its famous blueberry steak and extensive wine selection.,5,dessert,5
137,La Prosciutteria,"Via dei Neri, 54r",4,43.9226936369572  11.24463906922468," Casual eatery specializing in Italian cured meats, cheeses, and bruschetta.",40,fine dinning,4
138,La Bottega del Buon Caffè,"Lungarno Benvenuto Cellini, 69r",4,43.53874627376364 11.252631795675516, Fine dining restaurant offering a refined menu of contemporary Italian cuisine.,6,traditional,3
139,Osteria de' Benci,"Via de' Benci, 13r",4,43.768379809882276  11.260123202027252,Traditional osteria serving Tuscan dishes and an excellent selection of wines.,18,sea food,4
140,Konnubio,"Via dei Conti, 8",4,43.77440283473441  11.253275054166652,Modern restaurant with a creative menu featuring Italian and international flavors.,10,traditional,5
141,Quinto Gelateria,"Via di Tor Millina, 15, 00186 Roma RM, Italy",1,41.89944116756968 12.472104031825918,"Snug, established shop making ice cream, plus sweet crÍpes, fruit cups & smoothies, to take away.",7,dessert,4
142,Creperia Michelangelo,"Viale dei Bastioni di Michelangelo, 3, 00192 Roma RM, Italy",1,"41.90655360617626, 12.456385951224657","Creperia Michelangelo†in Rome, Italy, offers a delightful selection of sweet and savory crÍpes made fresh to order. Visitors praise the friendly service, affordable prices, and extensive menu.",8,dessert,5
143,Giulio Terrinoni,"Vicolo del Malpasso, 9, 00186 Roma RM, Italy",1,41.89772094062539 12.467566106041346,"Tasting menus of inventive modern Italian seafood, in a sleek, minimalist space with a courtyard.",30,fine dinning,5
144,Life Ristorante,"Via della Vite, 28, 00187 Roma RM, Italy",1,41.90424093818848 12.480535868744537,"Sleek, upscale Mediterranean fine dining restaurant specializing in meat, lobster & truffle dishes.",32,fine dinning,4
145,Ma Che Buono,"C.so Lodi, 1, 20135 Milano MI, Italy",2,45.45229923926904 9.203504264658864,"Ma Che Buono†is a charming cafÈ and pastry shop located in Milan, Italy. They offer traditional and modern cakes, micro-cakes, and a delightful selection of coffee.",10,dessert,4
146,Pasticceria Sissi,"P.za Risorgimento, 6, 20129 Milano MI, Italy",2,45.46993799422699 9.20881839617324,"Tiny, pink-walled bakery/cafe hung with vintage prints, popular for cappuccino & croissants.",8,dessert,5
147,AALTO,"Piazza Alvar Aalto, 20124 Milano MI, Italy",2,45.48430150968346 9.193467574978175,"Ambitious Italian-Japanese fusion cuisine in an upscale, contemporary dining room.",40,fine dinning,5
148,Seta,"Via Monte di Piet‡, 18, 20121 Milano MI, Italy",2,45.47214458673872 9.191407638519845,"Creative, contemporary takes on Italian cuisine, served in a sleek room with turquoise accents.",45,fine dinning,4
149,Pasticceria Calemma Dolci Momenti,"Vico Lungo del Gelso, 52, 80132 Napoli NA, Italy",3,40.84059366909775 14.247483306254022,"Pasticceria Calemma Dolci Momenti†in Naples, Italy, is a delightful pastry shop located in the heart of the†Quartieri Spagnoli. They offer artisanal pastries, excellent coffee, and aperitifs from 3:00 PM to 8:30 PM daily.",6,dessert,5
150,Terrazza Calabritto,"Piazza Vittoria, 1, 80121 Napoli NA, Italy",3,40.83395451602328 14.241338168174844,"Terrazza Calabritto†in Naples, Italy, offers an exceptional culinary experience where traditional Neapolitan flavors intertwine with modern techniques. Each dish is a captivating narrative, stimulating the imagination through flavor combinations and familiar scents that evoke childhood memories.†",30,fine dinning,4
151,B. ICE,"Borgo Ognissanti, 150/r, 50123 Firenze FI, Italy",4,43.774819310338835 11.243058068744542,"a delightful ice cream shop located at Borgo Ognissanti 150/r, Florence, Italy. Known for its homemade gelato, this neighborhood gem offers a variety of flavors made on-site. Visitors rave about the hazelnut, pistachio, and pomegranate mint options, making it a must-visit spot for ice cream enthusiasts1. If youíre in Florence, donít miss out on this tasty treat!",4,dessert,3
152,Saporium Firenze,"Lungarno Benvenuto Cellini, 63/R, 50125 Firenze FI, Italy",4,43.7649454036614 11.265484507373015,Elevated Italian tasting menus & Tuscan wines in an opulently designed dining room.,25,fine dinning,4
153,GROM,"Campo S. Barnaba, 2761, 30123 Venezia VE, Italy",5,45.433498281998226 12.325035114773186,"GROM†is an exceptional†gluten-free ice cream shop. This delightful establishment offers a dedicated gluten-free menu, including†gelato,†desserts, and†ice cream cones.†Visitors rave about the†homemade waffle cones,†pistachio, and†hazelnut gelato†options, making it a must-visit spot for those with dietary restrictions1.",3,dessert,5
154,Al Covo,"Campiello de la Pescaria, 3968, 30122 Venezia VE, Italy",5,45.43492387001262 12.34780366080183,"Refined, updated Venetian classics in a charming, rustic-style restaurant, with outside tables.",50,fine dinning,4
